id,name,fullname,vat,company_registry,mfo,ceo_id:id,dgf_status_id:id,dgf_statusdate,dgf_terminationdateplan,website,active
company_300056,"ПАТ ""ЛЕГБАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ЛЕГБАНК""",14291780,14291780,300056,person_1,dict_6,2020-03-03,2020-03-03,https://legbank.fg.gov.ua,0
company_300120,"ПАТ ""БАНК ПЕТРОКОММЕРЦ-УКРАЇНА""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК ПЕТРОКОММЕРЦ-УКРАЇНА""",22906155,22906155,300120,person_2,dict_5,2019-12-23,,https://pcbu.fg.gov.ua,1
company_300131,"АТ ""БАНК ""ФІНАНСИ ТА КРЕДИТ""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК ""ФІНАНСИ ТА КРЕДИТ""",09807856,09807856,300131,person_3,dict_3,2019-11-07,,https://fcbank.fg.gov.ua,1
company_300142,"ПАТ ""УКРІНБАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""УКРАЇНСЬКИЙ ІННОВАЦІЙНИЙ БАНК""",05839888,05839888,300142,person_4,dict_4,2016-03-23,,https://ukrinbank.fg.gov.ua,1
company_300164,"ПАТ ""ОМЕГА БАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ОМЕГА БАНК""",19356840,19356840,300164,person_5,dict_6,2019-11-18,2019-11-18,https://omega.fg.gov.ua,0
company_300175,"ПУАТ ""ФІДОБАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ФІДОБАНК""",14351016,14351016,300175,person_1,dict_3,2020-06-18,,https://fidobank.fg.gov.ua,1
company_300205,"ПАТ ""УПБ""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""УКРАЇНСЬКИЙ ПРОФЕСІЙНИЙ БАНК""",19019775,19019775,300205,person_2,dict_5,2020-07-23,,https://upb.fg.gov.ua,1
company_300216,"ПАТ КБ ""ІНТЕРБАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО КОМЕРЦІЙНИЙ БАНК ""ІНТЕРБАНК""",14358604,14358604,300216,person_6,dict_6,2019-05-24,2019-05-24,https://interbank.fg.gov.ua,0
company_300249,"АТ ""БРОКБІЗНЕСБАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БРОКБІЗНЕСБАНК""",19357489,19357489,300249,person_7,dict_6,2019-10-15,2019-10-15,https://bbbank.fg.gov.ua,0
company_300272,"ПАТ ""ЕНЕРГОБАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ЕНЕРГОБАНК""",19357762,19357762,300272,person_2,dict_5,2020-05-28,,https://energo.fg.gov.ua,1
company_300498,"АТ ""БАНК ""НАЦІОНАЛЬНІ ІНВЕСТИЦІЇ""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК ""НАЦІОНАЛЬНІ ІНВЕСТИЦІЇ""",20017340,20017340,300498,person_2,dict_5,2021-06-14,,https://bni.fg.gov.ua,1
company_300669,"ПАТ ""ПРАЙМ - БАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ПРАЙМ - БАНК""",26051650,26051650,300669,person_8,dict_6,2019-06-07,2019-06-07,https://prime.fg.gov.ua,0
company_300670,"ПАТ ""КБ ""ХРЕЩАТИК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""ХРЕЩАТИК""",19364259,19364259,300670,person_9,dict_6,2020-10-02,2020-10-02,https://xbank.fg.gov.ua,0
company_300788,"АТ ""БАНК ""ТАВРИКА""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК ""ТАВРИКА""",19454139,19454139,300788,person_10,dict_6,2018-11-28,2018-11-28,https://tavrika.fg.gov.ua,0
